Park Name,County,Park Identifier,Park Address,MH Spaces,Operated by
VALLEY VIEW MOBILE MANOR,SAN BERNARDINO,36-0559-MP,"10888 WEST DR, MORONGO VALLEY, CA 92256, (760) 363-6180",74,"FRINGE PLAYERS SOUTH LLC, 80 LONGFELLOW ROAD, MILL VALLEY, CA 94941"
OAK GLEN RESORT,SAN BERNARDINO,36-0562-MP,"38955 OAK GLEN RD, YUCAIPA, CA 92399, (909) 862-0208",203,"BANKS, CONSTANCE, 32300 SAN TIMOTEO CANYON, REDLANDS, CA 92373"
SIERRA VIEW MOBILE ESTATES,SAN BERNARDINO,36-0563-MP,"10200 JOHNSON RD, PHELAN, CA 92371, (760) 868-2211",55,"TAVERA, ABRAM, 10 CLUBVIEW LANE, ROLLING HILLS, CA 90274"
AZTEC MP,SAN BERNARDINO,36-0564-MP,"7425 CHURCH ST, YUCCA VALLEY, CA 92284, (760) 365-5090",165,"CARITAS AFFORDABLE HOUSING INC, 3 PARK PLAZA # 1700, IRVINE, CA 92614"
CASITAS CIENTOS MHP,SAN BERNARDINO,36-0565-MP,"6161 OCOTILLO AVE, TWENTYNINE PALMS, CA 92277, (760) 367-9901",46,"ELLISON, SUNG, 2301 LOMICA PLACE, ESCONDIDO, CA 92029"
BIG BEAR MOBILE ESTATES,SAN BERNARDINO,36-0566-MP,"547 ALDEN RD, BIG BEAR LAKE, CA 92315, (209) 845-3836",46,"BRAZIL INVESTMENTS, LLC, PO BOX 1548, OAKDALE, CA 95361"
SUNRISE MHP,SAN BERNARDINO,36-0567-MP,"19816 HWY 58, HINKLEY, CA 92347, (619) 367-9901",21,"TALLACKSON, E, 11100 ALTO DR, OAK VIEW, CA 93022"
LOS RANCHOS,SAN BERNARDINO,36-0568-MP,"20683 WAALEW RD, APPLE VALLEY, CA 92307, (619) 367-9901",214,"MHC LOS RANCHOS LIMITED PARTNERSHIP, PO BOX 867, MONSEY, NY 10952"
SANTIAGO MOUNTAIN VIEW ESTATES,SAN BERNARDINO,36-0569-MP,"721 E 9TH ST, SAN BERNARDINO, CA 92410, (909) 884-1612",148,"SANTIAGO MANAGEMENT CO INC, PO BOX 11927, SANTA ANA, CA 92711"
MOUNTAIN SHADOWS MH COMMUNITY,SAN BERNARDINO,36-0570-MP,"4040 E PIEDMONT DR, HIGHLAND, CA 92346, (909) 864-1522",403,"STUBBLEFIELD CONSTRUCTION, 2258 BRADFORD AVE, HIGHLAND, CA 92346"
CRAFTON HILLS MOBILE ESTATES,SAN BERNARDINO,36-0571-MP,"31816 AVE E, YUCAIPA, CA 92399, (619) 367-9901",159,"DEJAGER, MARK, PO BOX 512, YUCAIPA, CA 92399"
HIDDEN VALLEY MOBILE ESTATES,SAN BERNARDINO,36-0572-MP,"12680 4TH ST, YUCAIPA, CA 92399, (619) 367-9901",60,
NINTH ST MHP,SAN BERNARDINO,36-0574-MP,"780 E 9TH ST, SAN BERNARDINO, CA 92410, (909) 889-1314",108,"SANTIAGO MANAGEMENT CO INC, PO BOX 11927, SANTA ANA, CA 92711"
HOLIDAY MANOR TRAILER GROVE,SAN BERNARDINO,36-0575-MP,"775 E FOOTHILL BLVD, RIALTO, CA 92376, (619) 367-9901",65,"COALLIGAN, JAMES, 1065 MEDFORD RD, PASADENA, CA 91107"
HIDDEN VILLAGE MHP,SAN BERNARDINO,36-0576-MP,"12582 2ND ST, YUCAIPA, CA 92399, (619) 367-9901",81,"MOUCHAWAR, MAURICE, 1634 SYCAMORE CANYON DRIVE, WESTLAKE VILLAGE, CA 91361"
HILLCREST MOBILE ESTATES,SAN BERNARDINO,36-0577-MP,"33600 CALIMESA BLVD, YUCAIPA, CA 92399, (619) 367-9901",196,"RUBIN, GERALD, 117 S DETROIT AVE #503, LOS ANGELES, CA 90036"
BARSTOW CALICO KOA,SAN BERNARDINO,36-0579-MP,"35350 OUTER HWY 15, YERMO, CA 92398, (760) 254-2311",3,
VALLEY OF ENCHANTMENT MHP,SAN BERNARDINO,36-0580-MP,"22899 BYRON RD, CRESTLINE, CA 92325, (909) 338-1398",119,"ROYCE VALLEY OF ENCHANTMENT LLC, PO BOX 1058, CRESTLINE, CA 92325"
WHITE ROAD MOBILE MANOR,SAN BERNARDINO,36-0581-MP,"8611 WHITE RD, PHELAN, CA 92371, (760) 887-3219",5,"MAYES, JIMMY, 8611 WHITE ROAD, PHELAN, CA 92371"
RIVER RANCH MHP,SAN BERNARDINO,36-0583-MP,"15940 STODDARD WELLS RD, VICTORVILLE, CA 92392, (760) 245-9831",136,"JAMBOREE HOUSING CORP, 17701 COWAN AVE #200, IRVINE, CA 92612"
"VICTOR VILLA MHP, LTD",SAN BERNARDINO,36-0584-MP,"13393 MARIPOSA RD, VICTORVILLE, CA 92392, (760) 241-7163",286,"VICTOR VILLA MHP LTD, C/O VEDDER PARK MANAGEMENT 28632 ROADSIDE DR #220, AGOURA HILLS, CA 91301"
EXECUTIVE MH ESTATES,SAN BERNARDINO,36-0586-MP,"10622 BRYANT ST, YUCAIPA, CA 92399, (619) 241-7163",152,"EXECUMOBE INC, 16562 REDWOOD CIRCLE, FOUNTAIN VALLEY, CA 92708"
RAMONA VILLA MHP,SAN BERNARDINO,36-0587-MP,"9800 BASELINE RD, RANCHO CUCAMONGA, CA 91730, (619) 241-7163",149,"RAMONA VILLA ASSOCIATION LTD, 501 S BEVERLY DR 3RD FLOOR, BEVERLY HILLS, CA 90210"
MAWS PARK,SAN BERNARDINO,36-0588-MP,"911 COLTON AVE, COLTON, CA 92324, (619) 241-7163",12,"ANDERS, BLAKE, 2138 E ORANGETHORPE, FULLERTON, CA 92831"
"""H"" STREET TRAILER PARK",SAN BERNARDINO,36-0589-MP,"574- 84 EAST H ST, COLTON, CA 92324, (909) 824-1910",10,"KWON, BRUCE, 2034 PEPPERDALE DRIVE, ROWLAND HEIGHTS, CA 91748"
CADENA CREEK MOBILE HOME PARK,SAN BERNARDINO,36-0590-MP,"2851 S LA CADENA DR, COLTON, CA 92324, (909) 824-1910",281,"LAKE CADENA INVESTMENTS LTD, 1801 E. EDINGER AVENUE #230, SANTA ANA, CA 92705"
COLTON MOBILE HOME PARK,SAN BERNARDINO,36-0591-MP,"845 W VALLEY BLVD, COLTON, CA 92324, (909) 384-9927",28,"COLTON MOBILE HOME PARK LLC, 3511 DEL PASO RD #160/147, SACRAMENTO, CA 95835"
STARDUST MHP,SAN BERNARDINO,36-0592-MP,"2250 W MILL ST, COLTON, CA 92324, (818) 449-0606",103,"COLTON COMMUNITY, LLC, KAY SONG MANAGING MEMBER 22880 SAVI RANCH PKWY, YORBA LINDA, CA 92887"
Y 95,SAN BERNARDINO,36-0593-MP,"1209 E BROADWAY, NEEDLES, CA 92363, (619) 326-4295",0,"STEPHENSON, WILLARD, 117 WEST 300 NORTH, DELTA, UT 84624"
PIONEER MOBILEHOME PARK,SAN BERNARDINO,36-0594-MP,"13892 PIONEER RD, APPLE VALLEY, CA 92307, (760) 240-1218",36,"MILANA II LLC, PO BOX 915, TUSTIN, CA 92781"
CRESTVIEW II MHP,SAN BERNARDINO,36-0595-MP,"12821 4TH ST, YUCAIPA, CA 92399, (909) 797-5323",55,"SLUSSER, GEORGE, 7128 AMBERWOOD LN, HIGHLAND, CA 92346"
HOLLOWAYS MARINA & RV PARK,SAN BERNARDINO,36-0596-MP,"398 EDGEMOORE RD, BIG BEAR LAKE, CA 92315, (909) 866-5706",0,"HOLLOWAYS MARINA INC, PO BOX 2877, BIG BEAR LAKE, CA 92315"
YUCAIPA LAND YACHT HARBOR,SAN BERNARDINO,36-0597-MP,"12618 3RD ST, YUCAIPA, CA 92399, (909) 797-5323",65,"YUCAIPA LAND YACHT HARBOR INC, 13701 CALIMESA BLVD, YUCAIPA, CA 92399"
LONE WOLF COLONY HEALTH RANCH,SAN BERNARDINO,36-0598-MP,"23200 BEAR VALLEY RD, APPLE VALLEY, CA 92307, (760) 247-7878",8,"LONE WOLF COLONY INC, 23200 BEAR VALLEY RD, APPLE VALLEY, CA 92307"
WESTERN HILLS ESTATES,SAN BERNARDINO,36-0599-MP,"1850 FAIRWAY DR, CHINO HILLS, CA 91709, (909) 597-7016",101,"WESTERN HILLS ESTATES, 1850 FAIRWAY DR #102, CHINO HILLS, CA 91709"
ALTA VISTA MHP,SAN BERNARDINO,36-0600-MP,"10350 BASELINE RD, RANCHO CUCAMONGA, CA 91701, (714) 597-7016",207,"SEMAIN BROTHERS L P, 1635 AVIATION BLVD, REDONDO BEACH, CA 90278"
SANTA FE MHP,SAN BERNARDINO,36-0601-MP,"8655 SANTA FE EAST, HESPERIA, CA 92345, (714) 597-7016",45,"SANTA II , LLC, PO BOX 384, VICTORVILLE, CA 92394"
SAGE MOBILE ESTATES,SAN BERNARDINO,36-0603-MP,"9152 C ST, HESPERIA, CA 92345, (714) 597-7016",99,"BEARDSLEY, GEORGE, 16840 OLIVE, HESPERIA, CA 92345"
RANCHO ONTARIO MOBILE HOME PARK,SAN BERNARDINO,36-0604-MP,"1456 E PHILADELPHIA, ONTARIO, CA 91761, (909) 947-4217",451,"CPI GV RANCHO ONTARIO OWNER LLC, 1495 PACIFIC HIGHWAY SUITE 450, SAN DIEGO, CA 92101"
RANCHO MERIDIAN MHP ESTATES,SAN BERNARDINO,36-0605-MP,"2686 W MILL ST, SAN BERNARDINO, CA 92410, (909) 825-4340",143,"SANTIAGO MANAGEMENT CO INC, PO BOX 11927, SANTA ANA, CA 92711"
NEEDLES KOA KAMPGROUND,SAN BERNARDINO,36-0606-MP,"5400 NATIONAL OLD TRAILS HWY, NEEDLES, CA 92363, (760) 326-4207",3,"SANDBERG, WILLIAM, 5400 NATIONAL OLD TRAILS HWY, NEEDLES, CA 92363"
SANTIAGO HILLSIDE ESTATES,SAN BERNARDINO,36-0607-MP,"2151 WEST RIALTO AVE, SAN BERNARDINO, CA 92410, (909) 884-1952",85,"SANTIAGO MANAGEMENT CO INC, PO BOX 11927, SANTA ANA, CA 92711"
ROYAL YORK ESTATES,SAN BERNARDINO,36-0608-MP,"2250 S CHESTNUT ST, SAN BERNARDINO, CA 92410, (209) 845-3836",93,"ACI ROYAL YORK INC, 7420 GREENHAVEN DRIVE STE 125, SACRAMENTO, CA 95831"
RAMONA MHP,SAN BERNARDINO,36-0609-MP,"11906 RAMONA AVE, CHINO, CA 91710, (909) 594-0501",48,"RAMONA MHP, LLC, 430 SOUTH SAN DIMAS AVE, SAN DIMAS, CA 91773"
GATES OF SPAIN MHP,SAN BERNARDINO,36-0611-MP,"7501 PALM, YUCCA VALLEY, CA 92284, (760) 365-2374",132,"GARRETT DEBAUN, SUZANNE, 1700 E GARRY AVE SUITE 219, SANTA ANA, CA 92705"
RIVERLAND RESORT,SAN BERNARDINO,36-0612-MP,"3401 PARKER DAM RD, EARP, CA 92242, (760) 663-3733",0,"ROBERTS RESORTS-RIVERLAND, LLC, 1601 CARMEN DRIVE #100, CAMARILLO, CA 93010"
SILVER LAKES RV PARK,SAN BERNARDINO,36-0613-MP,"27925 HELENDALE RD, HELENDALE, CA 92342, (909) 594-0501",0,"SILVER LAKES ASSOCIATION, PO BOX 179, HELENDALE, CA 92342"
UPLAND MEADOWS,SAN BERNARDINO,36-0614-MP,"929 E FOOTHILL BLVD, UPLAND, CA 91786, (909) 982-8382",223,"UPLAND MEADOWS MANAGEMENT, 214 W MAIN STREET, LOS GATOS, CA 95030"
LAUREL PINES RV PARK,SAN BERNARDINO,36-0615-MP,"49150 HWY 38, ANGELUS OAKS, CA 92305, (714) 328-6697",2,"LAUREL PINES INC., PO BOX 2602, BIG BEAR CITY, CA 92314"
HACIENDA MOBILE ESTATES,SAN BERNARDINO,36-0618-MP,"4361 MISSION BLVD., MONTCLAIR, CA 91763, (909) 627-0095",204,"AUGUSTA HOMES, 3491 CONCOURS ST. SUITE # 204, ONTARIO, CA 91764"
TRONA TP,SAN BERNARDINO,36-0620-MP,"81898 TRONA RD, TRONA, CA 93562, (310) 652-5566",9,"TRONA PARK LLC, PO BOX 29, BEVERLY HILLS, CA 90211"
RANCHO MEDITERRANIA,SAN BERNARDINO,36-0621-MP,"700 E WASHINGTON, COLTON, CA 92324, (909) 825-7460",260,"LORDON MANAGEMENT, 1275 CENTER COURT DR, COVINA, CA 91724"
MOUNTAIN VIEW ESTATES,SAN BERNARDINO,36-0622-MP,"1320 E SAN BERNARDINO RD, UPLAND, CA 91786, (714) 328-6697",68,"ROAD DOG PROPERTIES, LP, 4900 SANTA ANITA AVE. #2C, EL MONTE, CA 91731"
CADIZ PARK,SAN BERNARDINO,36-0623-MP,"96-726 ROUTE 66, CADIZ, CA 92304, (760) 861-0603",1,"CADIZ INC, 550 S HOPE STREET 2850, LOS ANGELES, CA 90071"
CAPRI RIALTO MOBILE HOME PARK,SAN BERNARDINO,36-0624-MP,"200 W SAN BERNARDINO AVE, RIALTO, CA 92376, (909) 875-6220",137,"MORAN, JOHN, 430 S SAN DIMAS AVE, SAN DIMAS, CA 91773"
ARROWHEAD ESTATES,SAN BERNARDINO,36-0625-MP,"17400 VALLEY BLVD, FONTANA, CA 92335, (909) 823-9164",108,"HOMETOWN AMERICA MANAGEMENT LP, 110 N WACKER DR STE 4500, CHICAGO, IL 60606"
DESERT TRAILER LIFE PARK,SAN BERNARDINO,36-0626-MP,"16473 GREEN TREE BLVD, VICTORVILLE, CA 92392, (760) 243-6124",50,"DESERT TRAILER LIFE LLC, 756 S WALNUT, SAN DIMAS, CA 91773"
ORANGE GROVE MOBILE ESTATES,SAN BERNARDINO,36-0627-MP,"626 DEARBORN ST, REDLANDS, CA 92374, (714) 794-2615",209,"DEARBORN PROPERTIES, LLC, 430 S SAN DIMAS AVENUE, SAN DIMAS, CA 91773"
SAN BERNARDINO SPA,SAN BERNARDINO,36-0628-MP,"494 S MACY ST, SAN BERNARDINO, CA 92410, (909) 884-1871",181,"HOOK, JOHN, 105 S. EL CAMINO REAL, SAN CLEMENTE, CA 92672"
RIALTO MOBILE VILLA 2,SAN BERNARDINO,36-0629-MP,"250 N LINDEN AVE, RIALTO, CA 92376, (714) 794-2615",129,"RIALTO MOBILE VILLA 2 LTD, PO BOX 3670, ONTARIO, CA 91761"
"KAMPGROUND OF CALIFORNIA, LLC",SAN BERNARDINO,36-0630-MP,"16530 STODDARD WELLS RD, VICTORVILLE, CA 92392, (760) 245-6867",0,"STEELMAN, DENNY, 1001 E WASHINGTON AVE, SANTA ANA, CA 92701"
SEASONS COMMUNITY LLC,SAN BERNARDINO,36-0632-MP,"14000 EL EVADO RD, VICTORVILLE, CA 92392, (760) 241-6370",101,"JACOBSON, JERRY, 14000 EL EVADO ROAD, VICTORVILLE, CA 92392"
FAIRWAY MOBILE ESTATES,SAN BERNARDINO,36-0633-MP,"26297 E. BASELINE ST., HIGHLAND, CA 92346, (619) 241-6370",63,"MARTINEZ, VICTOR, PO BOX 1919, RANCHO CUCAMONGA, CA 91729"
SANTIAGO CORONADO VILLAGE,SAN BERNARDINO,36-0634-MP,"900 CORONADO DR, NEEDLES, CA 92363, (760) 326-5255",83,"SANTIAGO RIVERVIEW VILLAGE LLC, PO BOX 11927, SANTA ANA, CA 92711"
PINE TREE RV PARK,SAN BERNARDINO,36-0635-MP,"42144 NORTHSHORE, BIG BEAR LAKE, CA 92315, (909) 866-2025",0,"MILLER, DONALD, 770 SYCAMORE AVE STE 122-227, VISTA, CA 92083"
HIGH CHAPARRAL MHP,SAN BERNARDINO,36-0637-MP,"8450 G AVE, HESPERIA, CA 92345, (714) 866-2025",85,"HIGH CHAPARRAL LLC, PO BOX 11427, SANTA ANA, CA 92711"
TERRA ALTA MH ESTATES,SAN BERNARDINO,36-0639-MP,"3734 E PACIFIC ST, SAN BERNARDINO, CA 92401, (949) 492-0537",62,"SHEVCHUK, RUTH, 313 E AVE CORDOBA, SAN CLEMENTE, CA 92672"
SIERRA SANDS MOBILE HOME PARK,SAN BERNARDINO,36-0640-MP,"18772 N BELLFLOWER ST, ADELANTO, CA 92301, (425) 210-9106",24,"SIERRA SANDS MOBILE HOME PARK LLC, 32600 HWY 74, HEMET, CA 92545"
GREEN VALLEY MHP,SAN BERNARDINO,36-0642-MP,"12414 4TH ST, YUCAIPA, CA 92399, (714) 866-2025",109,"GLM ENTERPRISES, 404 MORNING STAR LN, NEWPORT BEACH, CA 92660"
66 TP,SAN BERNARDINO,36-0643-MP,"16669 D STREET, VICTORVILLE, CA 92392, (928) 499-5373",20,"CARR, CHRISTINA, 16669 ""D"" ST #16, VICTORVILLE, CA 92395"
OASIS PALMS ESTATES LLC,SAN BERNARDINO,36-0644-MP,"201 S PENNSYLVANIA AVE, SAN BERNARDINO, CA 92410, (909) 884-9555",139,"OASIS PALMS ESTATES LLC, 9454 WILSHIRE BLVD. SUITE # 920, BEVERLY HILLS, CA 90212"
NORTH SHORE RV RESORT,SAN BERNARDINO,36-0645-MP,"3408 RIVER RD, NEEDLES, CA 92363, (619) 326-5111",0,"FARRELL, BERNARD, RT 4, BOX 103, NEEDLES HWY, NEEDLES, CA 92363"
DESERT WILLOW RV PARK,SAN BERNARDINO,36-0646-MP,"12624 W MAIN ST, HESPERIA, CA 92345, (760) 949-0377",3,"BROWN, CRAIG, PO BOX 10009, NEWPORT BEACH, CA 92658"
DESERT SPRINGS RV PARK,SAN BERNARDINO,36-0647-MP,"34805 DAGGETT-YERMO ROAD, DAGGETT, CA 92327, (805) 268-0713",5,"RPPI LLC, 1550 20TH ST W #101, ROSAMOND, CA 93560"
HIGHLANDS MHP,SAN BERNARDINO,36-0648-MP,"7717 CHURCH AVE, HIGHLAND, CA 92346, (909) 949-0377",215,"THE HIGHLANDS MOBILEHOME ESTATES LLC, PO BOX 3370, ONTARIO, CA 91761"
WILLOW OAKS ESTATES,SAN BERNARDINO,36-0649-MP,"12550 MAIN ST WEST, HESPERIA, CA 92345, (760) 949-0377",178,"WATT FAMILY PROPERTIES INC, 2716 OCEAN PARK BLVD #3040, SANTA MONICA, CA 90405"
BEAR VALLEY MHP,SAN BERNARDINO,36-0651-MP,"22838 BEAR VALLEY ROAD, APPLE VALLEY, CA 92308, (619) 949-0377",118,"22838 BEAR VALLEY LLC, 520 W WILLOW ST, LONG BEACH, CA 90806"
EL RANCHO VERDE MH ESTATES,SAN BERNARDINO,36-0652-MP,"2598 N AYALA DR, RIALTO, CA 92376, (909) 875-4323",141,"EL RANCHO RIALTO LP, 241 MAIN ST, LOS GATOS, CA 95030"
REDLANDS COMMUNITY ASSOCIATION,SAN BERNARDINO,36-0654-MP,"140 PIONEER ST, REDLANDS, CA 92374, (909) 792-5164",171,"REDLANDS COMMUNITY ASSOCIATION, 140 W PIONEER AVENUE, REDLANDS, CA 92374"
OAK HILL RV VILLAGE,SAN BERNARDINO,36-0655-MP,"6238 CALIENTE, OAK HILLS, CA 92344, (619) 949-1716",0,"GRIMES, ED, 18219 VALLEY BL #7, BLOOMINGTON, CA 92316"
SUNDOWN LAKES,SAN BERNARDINO,36-0657-MP,"44504 VALLEY CENTER RD, NEWBERRY SPRINGS, CA 92365, (619) 949-1716",7,"SUNDOWN LAKE INC, 25672 AURORA WAY, MISSION VIEJO, CA 92691"
SANTIAGO DESERT VIEW ESTATES,SAN BERNARDINO,36-0658-MP,"2494 W MAIN ST, BARSTOW, CA 92311, (760) 256-8007",251,"SANTIAGO COMMUNITIES, PO BOX 11927, SANTA ANA, CA 92711"
"CAPRI MOBILEHOME PARK, LLC",SAN BERNARDINO,36-0659-MP,"11420 LEE AVE, ADELANTO, CA 92301, (760) 246-5664",69,"CAPRI MOBILEHOME PARK LLC, 27421 8TH AVE S, DES MOINES, WA 98198"
RANCHO SANTA FE MHP,SAN BERNARDINO,36-0660-MP,"9161 SANTA FE, HESPERIA, CA 92345, (619) 256-8007",75,"PENNER, JOHN, 13737 MISSION ST., HESPERIA, CA 92345"
SANTIAGO APPLE VALLEY ESTATES,SAN BERNARDINO,36-0661-MP,"22020 NISQUALLY RD, APPLE VALLEY, CA 92308, (619) 247-0767",76,"SANTIAGO APPLE VALLEY ESTATES LP, PO BOX 11927, SANTA ANA, CA 92711"
DESERT VIEW MHP,SAN BERNARDINO,36-0662-MP,"5300 NATIONAL OLD TRAILS HWY, NEEDLES, CA 92363, (619) 326-4277",4,"AMHERST LLC, P.O. BOX 1064, ALPINE, CA 91903"
CHERRY ESTATES,SAN BERNARDINO,36-0663-MP,"8300 CHERRY AVE, FONTANA, CA 92335, (909) 676-2267",54,"CHERRY ESTATES ASSET PARTNERS, LLC, PO BOX 2308, LAGUNA HILLS, CA 92654"
RIVER ROAD RESORT,SAN BERNARDINO,36-0665-MP,"3396 RIVER RD, NEEDLES, CA 92363, (619) 326-4882",0,"FENDER, JOHN, 3396 RIVER RD, NEEDLES, CA 92363"
MOUNTAIN VIEW VILLAS,SAN BERNARDINO,36-0666-MP,"21621 SANDIA RD, APPLE VALLEY, CA 92307, (619) 326-4882",179,"ABERDEEN REAL ESTATE #2 INVESTMENTS LLC, 1775 E QUEEN CREEK RD STE 3, CHANDLER, AZ 85286"
VISTA DEL ROSA,SAN BERNARDINO,36-0667-MP,"22241 NISQUALLY RD, APPLE VALLEY, CA 92308, (760) 240-4117",170,"TRAILS END TRAILER PARK, LLC, 7762 EDISON AVENUE # 107, FONTANA, CA 92336"
LOS RANCHOS,SAN BERNARDINO,36-0668-MP,"20843 WAALEW RD, APPLE VALLEY, CA 92307, (619) 247-0040",175,"MHC LOS RANCHOS LIMITED PARTNERSHIP, PO BOX 867, MONSEY, NY 10952"
RAM ROD SENIOR HOUSING INC,SAN BERNARDINO,36-0669-MP,"1010 N TERACE RD, RIALTO, CA 92376, (619) 247-0040",202,"RAMROD SENIORS PARK, 1010 N TERRACE, SAN BERNARDINO, CA 92410"
REDLANDS RANCH,SAN BERNARDINO,36-0670-MP,"1721 E COLTON AVE, REDLANDS, CA 92374, (619) 247-0040",122,"SAFETY INVESTMENT COMPANY, P.O. BOX 3370, ONTARIO, CA 91761"
SUNRISE MOBILE HOMES,SAN BERNARDINO,36-0671-MP,"8297 COTTONWOOD AVE, FONTANA, CA 92335, (619) 247-0040",40,"ZUBIRI, JEAN, C/O J&H PROP MGT 22880 SAVI RANCH PKWY, YORBA LINDA, CA 92887"
29 PALMS RV RESORT,SAN BERNARDINO,36-0672-MP,"4949 DESERT KNOLL, TWENTYNINE PALMS, CA 92277, (760) 367-3320",175,"TALLEY, VICKIE, 30442 VIA CANTABRIA, SAN JUAN CAPISTRANO, CA 92675"
ADELANTO RV PARK,SAN BERNARDINO,36-0673-MP,"11301 AIRBASE RD, ADELANTO, CA 92301, (619) 246-7775",0,"RUSH, JACK, 7517 WALNUT DR, CITRUS HEIGHTS, CA 95610"
DESERT RIVERIA,SAN BERNARDINO,36-0674-MP,"6 1/2 MI N OF EARP, EARP, CA 92242, (619) 663-4941",38,"WADE, MARK, PO BOX 1128, PARKER, AZ 85344"
PINE STREAM RV PARK,SAN BERNARDINO,36-0675-MP,"490 LYTLE CREEK, LYTLE CREEK, CA 92358, (909) 822-6030",0,"JUNG, YOOM, PO BOX 55, LYTLE CREEK, CA 92358"
SAN BERNARDINO RV PARK,SAN BERNARDINO,36-0676-MP,"1080 E NINTH ST, SAN BERNARDINO, CA 92410, (909) 381-2276",0,"LA CUMBRE MANAGEMENT, 100 N HOPE AVE SUITE # 1, SANTA BARBARA, CA 93110"
BRUIN PARK SOUTH,SAN BERNARDINO,36-10801-MP,"41120 BIG BEAR BLVD, BIG BEAR LAKE, CA 92315",8,
DESERT SKY MOTEL/RV PARK,SAN BERNARDINO,36-10962-MP,"55492 29 PALMS HWY, YUCCA VALLEY, CA 92284, (760) 365-2886",15,"PATEL, MAHESHKUMAR, 55492 29 PALMS HWY, YUCCA VALLEY, CA 92284"
TERRACE VILLAGE RV PARK,SAN BERNARDINO,36-10963-MP,"21975 E CARHART AVE, GRAND TERRACE, CA 92313, (909) 783-4580",0,"TERRACE VILLAGE RV PARK, LLC, 32249 CAMINO CALIARI, TEMECULA, CA 92592"
VISTA DEL LAGO,SAN BERNARDINO,36-11841-MP,"12600 HAVASU LAKE ROAD, NEEDLES, CA 92363, (760) 345-2449",107,"HAVASU LANDING LLC, C/O PCAM RHONDA DREWS 40-004 COOK ST STE 5, PALM DESERT, CA 92211"
PIRATE COVE MARINA,SAN BERNARDINO,36-12522-MP,"100 PARK MOABI RD, NEEDLES, CA 92363, (928) 453-6600",88,"THE PIRATE COVE RESORT &MARINA, 1100 LONDON BRIDGE RD., G102, LAKE HAVASU CITY, AZ 86404"
SILVER DUNE MOBILE HOME PARK,SAN BERNARDINO,36-12705-MP,"32935 DUNE RD, NEWBERRY SPRINGS, CA 92365, (760) 257-0979",13,"OFDL INC, 32935 DUNE RD, #14, NEWBERRY SPRINGS, CA 92365"
YUCCA VALLEY RV PARK,SAN BERNARDINO,36-13266-MP,"55408 TWENTYNINE PALMS HWY., YUCCA VALLEY, CA 92284, (760) 362-2163",0,"YUCCA RV PARTNERS LLC, 412 NORTH ORANGE DRIVE, LOS ANGELES, CA 90036"
HOLCOMB VALLEY RANCH,SAN BERNARDINO,36-13267-MP,"34300 HOLCOMB VALLEY ROAD, FAWNSKIN, CA 92333, (310) 230-4145",0,"HOLCOMB CAMP, 16321 PACIFIC COAST HWY UNIT # C, PACIFIC PALISADES, CA 90272"
EVERGREEN MHP,SAN DIEGO,37-0004-MP,"440 VAN HOUTEN AVENUE, EL CAJON, CA 92020, (619) 247-0040",70,"HOVIVIAN, JERRY, C/O H & H ASSET PROPERTY MANAGEMENT 22875 SAVI RANCH PARKWAY, SUITE A, YORBA LINDA, CA 92887"
TURN IN TP,SAN DIEGO,37-0007-MP,"205 S SECOND ST, EL CAJON, CA 92021, (619) 247-0040",37,"WATKINS, JO, 8521 SKYRIM DR, LAKESIDE, CA 92040"
CORRAL TP,SAN DIEGO,37-0011-MP,"2530 ALPINE BLVD, ALPINE, CA 91901, (619) 247-0040",0,"KLUCEWICH, JOSEPH, PO BOX 506, ALPINE, CA 91901"
SANTA YSABEL TP,SAN DIEGO,37-0015-MP,"21848 CABRILLO ST, SANTA YSABEL, CA 92070, (619) 765-0488",10,"DUDLEY'S BAKERY INC., PO BOX 67, SANTA YSABEL, CA 92070"
BANNER RECREATIONAL RANCH,SAN DIEGO,37-0016-MP,"36342 HWY 78, JULIAN, CA 92036, (619) 765-0813",17,"VL FAMILY TRUST, PO BOX 2982, RAMONA, CA 92065"
CAJON MOBILE MANOR,SAN DIEGO,37-0018-MP,"751 BRADLEY AVE, EL CAJON, CA 92021, (619) 448-7675",55,"BROWNING & HARRELL, 751 E BRADLEY AVE #20, EL CAJON, CA 92021"
BAYSIDE TP,SAN DIEGO,37-0020-MP,"1424 BROADWAY, CHULA VISTA, CA 91911, (619) 420-7747",30,"HORIZON CA PROPERTIES, LLC, PO BOX 230579, ENCINITAS, CA 92023"
BELLA ROSA MOBILE LODGE,SAN DIEGO,37-0022-MP,"1155 E MAIN ST, EL CAJON, CA 92021, (619) 420-7747",35,"LOW, MRS, PO BOX 2202, EL CAJON, CA 92021"
EL RANCHO TRAILER VILLA,SAN DIEGO,37-0027-MP,"850 E PALM CANYON DR, BORREGO SPRINGS, CA 92004, (619) 560-5934",39,"ROSAMOND 5 PROPERTIES LLC, 936 MONTERY BLVD, HERMOSA BEACH, CA 90254"
BOSTONIA TRAILER CT,SAN DIEGO,37-0028-MP,"1009 N 2ND ST, EL CAJON, CA 92021, (619) 560-5934",16,"LEE, KEY, 1200 ISLAND DRIVE, SAN MARCOS, CA 92069"
BUENA MHP,SAN DIEGO,37-0029-MP,"2001 HARTWRIGHT RD, VISTA, CA 92084, (619) 727-0323",42,"NEUMANN, BETTY, 466 I ST, CHULA VISTA, CA 91910"
